,delta,ideal,raw_m3,fitted_cvar_ub_m3,fitted_cvar_ub_m3_ci_lb,fitted_cvar_ub_m3_ci_ub,fitted_error,fitted_error_ci_lb,fitted_error_ci_ub
34,0.020000000000000018,0.8407,0.07023320352839946,0.8274842425345725,0.7684734318414373,0.8864950532277077,-0.013215757465427469,-0.07222656815856265,0.045795053227707716
35,0.025000000000000022,0.7566,0.0628822315600291,0.7408754426286965,0.6848178575714826,0.7969330276859105,-0.015724557371303516,-0.07178214242851744,0.040333027685910405
36,0.03,0.6797,0.05698665458621454,0.6714140368918993,0.6178813765879162,0.7249466971958823,-0.008285963108100702,-0.06181862341208377,0.04524669719588237
37,0.035,0.5871,0.04497208332117693,0.5298589332775924,0.4820011187524836,0.5777167478027011,-0.057241066722407585,-0.10509888124751637,-0.009383252197298853
38,0.04000000000000001,0.4904,0.048277503091336674,0.5688032308086518,0.519303721544242,0.6183027400730616,0.0784032308086518,0.028903721544241978,0.12790274007306163
39,0.04500000000000001,0.4059,0.034894684879078125,0.41112750714796553,0.3687495205172265,0.4535054937787046,0.005227507147965549,-0.0371504794827735,0.0476054937787046
40,0.05000000000000002,0.3383,0.029896866874572877,0.35224345461985607,0.31291606525623405,0.3915708439834781,0.013943454619856077,-0.025383934743765935,0.05327084398347809
41,0.05500000000000002,0.2643,0.022765295502282512,0.2682196220362448,0.23377595261417458,0.302663291458315,0.0039196220362447964,-0.030524047385825398,0.03836329145831502
42,0.06,0.2048,0.0181400975085357,0.2137257606408948,0.1829068065127753,0.2445447147690143,0.008925760640894786,-0.02189319348722471,0.03974471476901428
43,0.065,0.1628,0.01240045588402295,0.14610157772633722,0.12054618309724878,0.17165697235542568,-0.016698422273662777,-0.04225381690275122,0.00885697235542568
44,0.07,0.1227,0.00964982001561214,0.11369371757312663,0.0911187401556698,0.13626869499058347,-0.009006282426873374,-0.0315812598443302,0.013568694990583469
45,0.07500000000000001,0.0838,0.007014342835719935,0.08264265157642296,0.06337014033243218,0.10191516282041374,-0.001157348423577037,-0.020429859667567815,0.01811516282041374
46,0.08000000000000002,0.0652,0.005753171871663018,0.0677835956389098,0.050318373778104136,0.08524881749971547,0.002583595638909808,-0.014881626221895858,0.020048817499715474
47,0.08500000000000002,0.0422,0.0030897173730600734,0.036402902212180906,0.02358665898863634,0.049219145435725475,-0.005797097787819096,-0.018613341011363662,0.007019145435725474
48,0.09,0.0302,0.0011838314098956007,0.01394784501193919,0.006007103905175929,0.021888586118702452,-0.01625215498806081,-0.02419289609482407,-0.008311413881297549
49,0.095,0.02,0.0004251978164586742,0.005009660323089044,0.00024889813216134524,0.009770422514016743,-0.014990339676910956,-0.019751101867838655,-0.010229577485983257
50,0.1,0.0135,0.0005265738744573054,0.006204068186461213,0.0009063530096737977,0.011501783363248627,-0.007295931813538787,-0.012593646990326203,-0.0019982166367513727
51,0.10500000000000001,0.0089,0.00030717065779711696,0.003619069988645956,0.0,0.007665727765216218,-0.005280930011354044,-0.0089,-0.0012342722347837816
52,0.11000000000000001,0.0052,0.0003347470830334452,0.0039439741109428585,0.0,0.008168315658354498,-0.0012560258890571413,-0.0052,0.0029683156583544985
53,0.11500000000000002,0.0029,5.163825146332296e-05,0.0006083994072783448,0.0,0.002267787143903905,-0.002291600592721655,-0.0029,-0.0006322128560960947
54,0.12000000000000002,0.0022,0.0001001786932788827,0.0011803005695512612,0.0,0.0034915097407704695,-0.001019699430448739,-0.0022,0.0012915097407704694
55,0.12500000000000003,0.0007,0.0,0.0,0.0,0.0,-0.0007,-0.0007,-0.0007
56,0.13000000000000003,0.0005,0.0,0.0,0.0,0.0,-0.0005,-0.0005,-0.0005
57,0.13500000000000004,0.0005,5.0344081707014463e-05,0.0005931515611498813,0.0,0.002231614434623209,9.315156114988131e-05,-0.0005,0.0017316144346232092
58,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.145,0.0001,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001
60,0.15,0.0001,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001
