,delta,ideal,raw_m3,cvar_ub_m3,cvar_ub_m3_ci_lb,cvar_ub_m3_ci_ub,error,error_ci_lb,error_ci_ub
35,0.025000000000000022,0.7566,0.0628822315600291,0.7980268547733436,0.7376449663810493,0.8584087431656379,0.04142685477334351,-0.01895503361895079,0.10180874316563782
36,0.03,0.6797,0.05698665458621454,0.7232071698994691,0.6655449799118228,0.7808693598871154,0.04350716989946912,-0.01415502008817715,0.1011693598871154
37,0.035,0.5871,0.04497208332117693,0.5707324519986701,0.519182867541814,0.6222820364555262,-0.01636754800132989,-0.06791713245818598,0.0351820364555262
38,0.04000000000000001,0.4904,0.048277503091336674,0.6126809273858401,0.559363007235937,0.6659988475357432,0.12228092738584012,0.06896300723593701,0.17559884753574323
39,0.04500000000000001,0.4059,0.034894684879078125,0.4428420387049123,0.3971949981408962,0.4884890792689284,0.036942038704912306,-0.008705001859103778,0.08258907926892839
40,0.05000000000000002,0.3383,0.029896866874572877,0.3794156480708986,0.337054529002161,0.42177676713963624,0.041115648070898625,-0.0012454709978390044,0.08347676713963625
41,0.05500000000000002,0.2643,0.022765295502282512,0.2889101852298171,0.25180951810793073,0.32601085235170346,0.024610185229817116,-0.01249048189206925,0.06171085235170348
42,0.06,0.2048,0.0181400975085357,0.23021264673469885,0.1970163068168794,0.2634089866525183,0.02541264673469884,-0.00778369318312061,0.05860898665251826
43,0.065,0.1628,0.01240045588402295,0.15737190874715604,0.12984516130094081,0.18489865619337126,-0.005428091252843964,-0.032954838699059186,0.022098656193371258
44,0.07,0.1227,0.00964982001561214,0.12246409399189981,0.09814767426942683,0.14678051371437278,-0.00023590600810019513,-0.02455232573057317,0.02408051371437278
45,0.07500000000000001,0.0838,0.007014342835719935,0.08901773700807454,0.06825853695002398,0.1097769370661251,0.005217737008074541,-0.015541463049976015,0.025976937066125097
46,0.08000000000000002,0.0652,0.005753171871663018,0.07301244786980622,0.054199952182211214,0.09182494355740123,0.007812447869806227,-0.01100004781778878,0.026624943557401234
47,0.08500000000000002,0.0422,0.0030897173730600734,0.03921103587120448,0.025406142793082506,0.053015928949326455,-0.0029889641287955196,-0.016793857206917496,0.010815928949326453
48,0.09,0.0302,0.0011838314098956007,0.015023787056905172,0.006470494174749876,0.02357707993906047,-0.01517621294309483,-0.023729505825250123,-0.006622920060939532
49,0.095,0.02,0.0004251978164586742,0.0053961074171021695,0.00026809822831072583,0.010524116605893613,-0.014603892582897831,-0.019731901771689275,-0.009475883394106387
50,0.1,0.0135,0.0005265738744573054,0.006682652355265466,0.0009762694239911886,0.012389035286539743,-0.006817347644734534,-0.01252373057600881,-0.001110964713460257
51,0.10500000000000001,0.0089,0.00030717065779711696,0.0038982464177735807,0.0,0.008257064907319471,-0.005001753582226419,-0.0089,-0.0006429350926805289
52,0.11000000000000001,0.0052,0.0003347470830334452,0.004248213767075283,0.0,0.008798422620817488,-0.0009517862329247164,-0.0052,0.003598422620817488
53,0.11500000000000002,0.0029,5.163825146332296e-05,0.0006553315678997756,0.0,0.0024427251027836394,-0.002244668432100224,-0.0029,-0.00045727489721636037
54,0.12000000000000002,0.0022,0.0001001786932788827,0.0012713494023559307,0.0,0.0037608461240818385,-0.0009286505976440695,-0.0022,0.0015608461240818384
55,0.12500000000000003,0.0007,0.0,0.0,0.0,0.0,-0.0007,-0.0007,-0.0007
56,0.13000000000000003,0.0005,0.0,0.0,0.0,0.0,-0.0005,-0.0005,-0.0005
57,0.13500000000000004,0.0005,5.0344081707014463e-05,0.0006389074971480287,0.0,0.002403762017013808,0.00013890749714802865,-0.0005,0.0019037620170138081
58,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.145,0.0001,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001
60,0.15,0.0001,0.0,0.0,0.0,0.0,-0.0001,-0.0001,-0.0001
