,delta,ideal,raw_m3,fitted_cvar_ub_m3,fitted_cvar_ub_m3_ci_lb,fitted_cvar_ub_m3_ci_ub,fitted_error,fitted_error_ci_lb,fitted_error_ci_ub
0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.09000000000000001,0.0007,0.0,0.0,0.0,0.0,-0.0007,-0.0007,-0.0007
2,-0.08,0.0026,0.0,0.0,0.0,0.0,-0.0026,-0.0026,-0.0026
3,-0.07,0.012,1.1282400835882704e-05,0.0038136861644569994,0.0,0.010850852397452013,-0.008186313835543,-0.012,-0.0011491476025479869
4,-0.060000000000000005,0.0393,8.16095862529424e-05,0.02758573769069219,0.008660019739180756,0.046511455642203624,-0.011714262309307812,-0.030639980260819245,0.007211455642203622
5,-0.05,0.111,9.431844323524802e-05,0.03188159570393833,0.011535675936943286,0.05222751547093338,-0.07911840429606168,-0.09946432406305672,-0.058772484529066624
6,-0.04000000000000001,0.2373,0.00036914358253579553,0.1247782093450779,0.08453274101324894,0.16502367767690684,-0.11252179065492211,-0.1527672589867511,-0.07227632232309317
7,-0.03,0.4554,0.0012893802973589208,0.4358373605307609,0.3606560578921658,0.511018663169356,-0.01956263946923914,-0.09474394210783421,0.05561866316935593
8,-0.020000000000000004,0.7044,0.0022124288898038875,0.7478469848416724,0.649411155902225,0.8462828137811199,0.04344698484167242,-0.05498884409777505,0.1418828137811199
9,-0.010000000000000009,0.9101,0.002858680875003059,0.9662935983380211,0.8544372358983495,1.0,0.05619359833802107,-0.0556627641016505,0.08989999999999998
10,0.0,1.0,0.0024584660839098264,0.8310126741973839,0.7272605250027576,0.9347648233920102,-0.1689873258026161,-0.2727394749972424,-0.06523517660798983
11,0.009999999999999995,0.917,0.0024440693156230495,0.8261462670534758,0.722697603518841,0.9295949305881106,-0.09085373294652421,-0.194302396481159,0.012594930588110564
12,0.01999999999999999,0.7013,0.002664751376164151,0.9007413938595352,0.7927352578048189,1.0,0.1994413938595352,0.09143525780481887,0.29869999999999997
13,0.03,0.461,0.0011094206287659857,0.37500724925777773,0.3052632937440608,0.44475120477149466,-0.08599275074222229,-0.15573670625593922,-0.016248795228505364
14,0.04000000000000001,0.251,0.0008470711181088353,0.28632765760001855,0.22537741795316224,0.34727789724687486,0.03532765760001855,-0.02562258204683776,0.09627789724687486
15,0.04999999999999999,0.1101,0.00019874784208211328,0.06718090471964154,0.03764790599185414,0.09671390344742894,-0.04291909528035846,-0.07245209400814587,-0.013386096552571058
16,0.06,0.0455,6.926367393287747e-05,0.02341256252278945,0.005976949614497056,0.04084817543108184,-0.02208743747721055,-0.03952305038550294,-0.004651824568918161
17,0.07,0.0122,0.0,0.0,0.0,0.0,-0.0122,-0.0122,-0.0122
18,0.07999999999999999,0.003,0.0,0.0,0.0,0.0,-0.003,-0.003,-0.003
19,0.09,0.0005,5.047747382040419e-06,0.001706243611850498,0.0,0.006413276226810991,0.001206243611850498,-0.0005,0.00591327622681099
20,0.1,0.0002,0.0,0.0,0.0,0.0,-0.0002,-0.0002,-0.0002
